date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
8th Apr,GMMPFAUDLR,46.09,82.03,38.41,-73.50,-78.76,5.26,-22.22,-41.73,27.76,28.97,18.01,-145.67,-148.72,-147.37,-133.13,1710.20,1348.48,1379.79,1428.25,1476.92,1514.49,1399.89,1233.61,1379.17,1496.14,1473.99,21.67,25.09,26.70,1444.50,1333.05,1412.35,1386
8th Apr,HAPPSTMNDS,45.82,61.71,43.89,-22.13,-19.01,-3.12,-13.60,-18.31,330.11,330.77,47.18,-70.16,-69.58,-67.69,-59.76,902.88,814.17,826.15,839.98,854.23,870.77,823.30,779.88,829.71,853.91,906.70,20.95,18.13,15.78,839,813.55,821.95,835
8th Apr,SUNDRMFAST,45.79,75.92,43.79,-40.37,-39.04,-1.33,-17.36,-27.81,160.40,161.48,47.07,-94.82,-97.05,-90.33,-80.40,1211.72,1097.74,1118.25,1143.85,1156.22,1138.27,914.95,1018.22,1141.07,1249.88,1243.31,15.99,21.71,33.95,1164.90,1090,1125.25,1090
8th Apr,MARICO,45.75,69.21,45.05,-8.29,-7.54,-0.747,-4.65,-6.14,643.42,653.57,33.79,-52.01,-50.44,-47.85,-45.02,546.29,511.48,515.71,520.99,525.08,525.60,483.46,502.16,514.07,537.88,556.68,19.51,18.10,11.81,521,507.15,514.55,511.50
8th Apr,SHREECEM,45.54,41.19,50.38,-288.30,-120.72,-167.58,-331.80,-386.50,22.20,21.81,53.41,7.83,18.16,26.69,26.06,25073.12,25774.48,26028.96,26176.76,26077.98,25747.02,24022.52,24927.43,27104.43,27135.09,28851.38,23.08,23.97,14.18,26711.80,25201.45,25491.15,26069.20
8th Apr,COFORGE,45.51,31.99,57.42,16.96,151.54,-134.58,-178.71,-156.29,371.71,374.33,55.34,123.11,151.46,179.10,174.23,4995.10,5884.72,5964.50,5926.45,5738.01,5431.53,4150.81,5860.62,6527.33,6468.69,6720.42,22.37,21.36,27.26,5825,5600,5616.25,5825
8th Apr,CLEAN,45.38,58.76,47.60,-25.32,-15.64,-9.69,-23.59,-28.13,13.33,11.51,42.10,-18.44,-12.14,-3.48,-1.68,1457.05,1362.46,1380.34,1394.77,1406.68,1432.24,1575.61,1312.24,1423.87,1402.55,1538.45,19.00,20.10,12.10,1389,1321,1358.50,1350
8th Apr,AETHER,45.24,64.01,41.88,-23.72,-25.31,1.59,-8.64,-12.69,7.49,9.43,54.40,-106.10,-110.29,-114.92,-107.39,1033,832.12,841.32,857.38,877.55,891.07,857.68,811.85,807.09,869.13,926.06,21.22,23.89,14.96,865.10,829.25,841.35,858.95
8th Apr,AFFLE,45.23,44.93,50.63,-19.35,-6.36,-12.98,-25.20,-27.96,125.49,125.68,20.59,9.16,24.38,33.98,36.53,1083.25,1092.35,1110.09,1119.82,1117.00,1107.63,949.48,1038.24,1175.14,1169.13,1306.40,11.82,19.07,24.42,1113,1064.50,1070.25,1110
8th Apr,KAJARIACER,45.04,52.73,47.05,-31.66,-25.95,-5.71,-20.88,-26.75,361.65,360.64,62.42,-64.47,-62.56,-60.92,-49.32,1341.71,1229.44,1248.02,1267.39,1275.25,1261.55,1066.46,1173.63,1267.93,1357.33,1388.54,17.55,25.28,20.17,1278.95,1214.10,1225.20,1264
8th Apr,PAGEIND,44.91,74.12,40.60,-905.68,-867.82,-37.86,-454.96,-598.98,36.20,36.29,43.48,-76.43,-76.98,-69.36,-68.25,44650.88,35265.67,35691.54,36277.78,37026.90,37921.24,35733.53,34264.92,35566.58,35973.48,39536.47,18.75,22.43,24.23,37550.10,33814.85,35803.55,34371.95
